"manually added?","Requested Amount","Stripe_ID","Swapstack Fee Amount","unique id"
"","100","in_1IBP8DBO00mtbZLST4M3E9WF","4.08","1611081643675x177118887883833340"
"","375","in_1IBYSkLp3lgXyWyNEnWGSpSl","25.24","1611117512378x839266178781151200"
"","100","in_1IG4sLDTTmdDmbS5iVVJO14t","6.51","1612195418651x801781930636607500"
"","6000","in_1IGsiBBM3SkeSsPlFeUTPXsl","408.3","1612386988496x221853656714575870"
"","1330","in_1IH9kdKXdrn8mB2n40RkddKl","90.27","1612452489864x135019065854394370"
"","70","in_1IHAApE3XRLkDiY56yvC34nY","4.47","1612454112529x766204032515047400"
"","100","in_1IIcWDDTTmdDmbS58qr5X4jD","6.51","1612801399452x301211114852057100"
"","50","in_1IIfghLnaLy0fqZ0bwf3ZW0m","3.1","1612813581196x869963236953030700"
"","249","in_1IIfuQGElo2S3bPUlTxnhkRp","16.66","1612814433302x753530260401160200"
"","249","in_1IIgAfGElo2S3bPUWxQ2fhQ5","16.66","1612815440343x595201830850134000"
"","200","in_1IK7cZEfQ3zscs1mBJoAzqfV","13.32","1613159284962x686576201812410400"
"","100","in_1IL9O8DTTmdDmbS5hinLRw3h","6.51","1613404405881x274156629205450750"
"","40","in_1INIPHFXXr9QoNWAq5SoOBQP","2.42","1613915729588x336996839085834240"
"","100","in_1INgkoDTTmdDmbS5Rq4CawWz","6.51","1614009320306x732021215785123800"
"","150","in_1INxRbLvfEoHn4sCvrGK1Lry","9.91","1614073476087x250031389922557950"
"","70","in_1IOT1qK0GEj5jJGyIgDmHVoC","4.47","1614194887465x955567965845848000"
"","200","in_1IOU6ILp3lgXyWyNTaJFchnO","13.32","1614199008249x260972456602238980"
"","100","in_1IPu5hALNjpSssCIsMOimdvd","6.51","1614537244548x127622427228241920"
"","100","in_1IQIViDTTmdDmbS57cHFnNOZ","6.51","1614631111664x954650123349524500"
"","100","in_1IQy1iFpkfDBNGbEYbEIs9BC","6.51","1614790699697x244768345396609020"
"","10000","in_1IR4MCBM3SkeSsPlO88PnneO","680.7","1614815034091x468363112587722750"
"","2000","in_1IR4MsBM3SkeSsPlrz58iIW5","135.9","1614815077058x592718903720280000"
"","77","in_1IR6p2Lp3lgXyWyN72mWqhTh","4.94","1614824510429x350798160246341600"
"","3000","in_1IR7GoAttPskoTI0wvvjmVCf","204","1614826232881x820626622172364800"
"","150","in_1IRasCLvfEoHn4sCD1VOFvnK","9.91","1614940026277x205076235647713300"
"","150","in_1ITOtBLvfEoHn4sCSNE6fIEk","9.91","1615370615143x382575014329450500"
"","400","in_1ITZMYFYLVJBWYOOezrlBCFN","26.94","1615410878345x444847361559363600"
"","300","in_1IU2pgLp3lgXyWyNBiyz6Hq8","20.13","1615524157867x839021938962071600"
"","750","in_1IUhuMFYLVJBWYOOS4kOyQve","50.77","1615682051616x157991116200214530"
"","180","in_1IV3jaGaqn6oLHXIixB74wpB","11.96","1615765952488x310054574573223940"
"","275","in_1IVgDHIxrw4cE3FpWceG1rnu","18.43","1615913864477x158317831311065100"
"","5000","in_1IW5MLBM3SkeSsPla1aykx2R","340.2","1616010527803x833258710014361600"
"","184.55","in_1IXGzlGaqn6oLHXIpLGkPuUM","12.27","1616293582499x378737103121416200"
"","750","in_1IYrpPC65PbvDP7WyqhrF0uK","50.77","1616673496279x145513206671998980"
"","75","in_1Ia46MH8iNxexcbKORJBqSKk","4.81","1616959003431x471869469800529900"
"","1500","in_1IbAcdFPuFgBPtV9OmL39uBU","101.85","1617222398146x943208939180785700"
"","225","in_1IbEIHH9V39iVfYyqGeQCwQB","15.02","1617236511543x244363522660368400"
"","100","in_1IbaD1DTTmdDmbS5zBFe09LK","6.51","1617320752918x393830174388912100"
"","221.5","in_1IcvulFmV8AXbNyuTqb0ueV5","14.78","1617642513520x106195161310035970"
"","275","in_1IdJycIxrw4cE3FpHkqhsUah","18.43","1617735011208x929333753789808600"
